//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
-0.014246,-0.004868,0.009344,-0.041498,0.002459,0.960071,39578.654982
-0.014246,-0.010194,0.009344,-0.044702,0.046679,0.967578,39578.659958
-0.012115,-0.009129,0.006149,-0.030329,0.076892,0.948626,39578.664981
-0.012115,0.003654,0.005083,-0.022089,0.050341,0.939563,39578.669957
-0.009985,0.004720,0.002953,-0.052301,-0.007428,0.974902,39578.674959
-0.012115,0.003654,0.008279,-0.057520,-0.001477,0.983600,39578.679983
-0.013180,-0.002737,0.010410,-0.040674,0.031939,1.024158,39578.684953
-0.007854,0.002589,0.007214,0.000982,0.085864,1.043292,39578.689985
-0.006789,0.001524,0.005083,0.002814,0.058307,1.021319,39578.694955
-0.006789,0.003654,-0.000243,-0.046442,0.011432,1.003100,39578.699988
-0.006789,0.004720,0.004018,-0.059534,-0.016492,0.919879,39578.704958
-0.002528,-0.008064,0.001888,-0.032068,-0.000013,0.967303,39578.709988
-0.006789,0.003654,0.011475,0.000250,0.061602,0.990375,39578.714955
-0.006789,-0.000607,0.006149,-0.009363,0.059588,0.919696,39578.719983
-0.009985,0.005785,0.006149,-0.039209,0.027636,0.900104,39578.724953
-0.012115,0.008981,0.002953,-0.037653,-0.017224,0.898364,39578.729991
-0.008919,0.004720,0.005083,-0.032709,-0.007428,0.963458,39578.734955
-0.004658,0.007915,0.007214,-0.010278,0.075793,0.981036,39578.739983
-0.005724,0.001524,0.009344,-0.016779,0.065814,0.962268,39578.744953
-0.003593,0.008981,0.004018,-0.011743,0.045214,0.982501,39578.749988
-0.004658,0.006850,0.000822,0.009680,-0.009626,1.011798,39578.754948
-0.008919,-0.000607,0.006149,-0.006433,-0.016767,1.019946,39578.759983
-0.007854,-0.004868,0.005083,-0.014490,0.051715,1.021869,39578.763983
-0.005724,0.005785,0.001888,-0.023371,-0.028302,1.026263,39579.988004
-0.006789,0.002589,-0.001308,-0.039484,-0.046613,1.026446,39579.991991
-0.006789,0.002589,-0.001308,-0.043878,-0.014569,1.010058,39579.996955
-0.003593,0.000459,0.001888,-0.043878,-0.014569,1.010058,39579.998003
-0.006789,-0.001672,0.005083,-0.006891,0.020587,1.013263,39580.001991
-0.006789,-0.001672,0.005083,0.012427,-0.006971,1.006122,39580.006960
-0.011050,-0.000607,0.005083,0.012427,-0.006971,1.006122,39580.007999
-0.017441,-0.002737,0.008279,-0.010370,-0.050000,0.972705,39580.011985
-0.016376,0.001524,0.005083,-0.063288,-0.050824,0.924731,39580.016952
-0.022768,-0.002737,0.001888,-0.053766,0.000903,0.950732,39580.021989
-0.024898,-0.002737,0.002953,-0.013025,0.041186,1.004748,39580.026959
-0.015311,0.001524,0.008279,0.013159,0.051806,0.998523,39580.031987
-0.014246,-0.002737,0.005083,-0.048364,0.016833,0.963183,39580.036956
-0.005724,0.004720,0.005083,-0.080499,-0.035810,0.952380,39580.041993
-0.002528,0.006850,-0.007700,-0.031610,-0.004499,0.980395,39580.046954
-0.006789,0.001524,0.004018,0.001623,0.036425,1.028094,39580.051989
-0.013180,0.003654,0.006149,0.007025,0.041919,1.025073,39580.056957
-0.004658,-0.002737,0.008279,-0.025568,-0.003400,0.968036,39580.061962
-0.009985,0.002589,0.004018,-0.023371,-0.058332,1.001636,39580.066982
-0.016376,-0.001672,-0.000243,-0.017969,-0.058423,1.024707,39580.071962
-0.016376,-0.008064,-0.003439,-0.038385,-0.019056,1.031940,39580.076982
-0.022768,-0.004868,0.002953,-0.022821,0.037249,0.987811,39580.081959
-0.028094,-0.008064,0.004018,-0.010462,0.006854,0.969500,39580.086986
-0.022768,-0.006998,0.007214,-0.018335,-0.038831,1.016559,39580.091960
-0.018507,-0.006998,0.002953,-0.031885,-0.029401,0.967944,39580.096979
-0.017441,-0.008064,0.000822,-0.047449,0.018390,0.958239,39580.101961
-0.012115,-0.000607,0.002953,-0.042505,0.065081,0.939105,39580.106988
-0.013180,-0.004868,0.002953,-0.029138,0.054187,0.934802,39580.111959
-0.007854,0.003654,0.005083,-0.041223,-0.004041,0.940661,39580.116981
-0.012115,0.005785,0.008279,-0.057520,-0.034436,0.903766,39580.121968
-0.014246,0.014307,0.001888,-0.075098,-0.008344,0.974719,39580.126981
-0.006789,0.014307,-0.003439,-0.019983,0.037890,1.014728,39580.131961
-0.001462,0.010046,0.004018,0.021673,0.041095,1.021136,39580.136984
-0.005724,0.007915,0.008279,-0.006250,0.015002,1.018390,39580.141961
-0.000397,0.007915,0.002953,-0.037836,-0.036542,0.996875,39580.146984
-0.004658,0.010046,0.004018,-0.064935,-0.027295,1.025531,39580.151962
-0.017441,0.003654,-0.003439,-0.049372,0.028460,1.043475,39580.156982
-0.013180,-0.005933,0.000822,0.013983,0.024798,1.092914,39580.161961
-0.017441,-0.005933,0.009344,0.009588,-0.025281,1.081836,39580.166981
-0.014246,-0.004868,0.012540,-0.053217,-0.047895,0.982226,39580.171960
-0.017441,-0.008064,-0.000243,-0.107233,-0.051191,0.963916,39580.176984
-0.021703,-0.005933,0.002953,-0.103021,-0.013471,0.959430,39580.181957
-0.028094,-0.008064,-0.002373,-0.024652,0.050616,0.967761,39580.186980
-0.034486,-0.001672,0.002953,0.002997,0.050067,1.017016,39580.191960
-0.021703,-0.009129,0.008279,-0.061182,0.007037,0.965564,39580.196954
-0.006789,-0.005933,0.001888,-0.109888,-0.017682,0.935443,39580.201990
-0.006789,-0.003803,0.006149,-0.084436,0.023150,0.973163,39580.206955
-0.006789,0.002589,-0.000243,-0.036737,0.037890,1.018939,39580.211990
-0.008919,0.001524,-0.000243,-0.031610,0.046588,1.002551,39580.216958
-0.016376,-0.002737,0.002953,-0.080133,0.022876,0.941668,39580.221992
-0.012115,-0.001672,0.012540,-0.095606,-0.044965,0.967761,39580.226958
-0.008919,0.000459,0.009344,-0.053308,-0.032788,1.035235,39580.231984
-0.008919,0.002589,-0.001308,-0.013666,0.024707,1.062243,39580.236960
-0.006789,-0.000607,0.006149,-0.030969,0.050341,0.984973,39580.241990
-0.013180,-0.002737,0.002953,-0.058893,0.017749,0.941211,39580.246961
-0.017441,0.003654,0.006149,-0.058435,-0.032056,0.947436,39580.251987
-0.016376,0.003654,0.007214,-0.033167,-0.033155,0.993854,39580.256953
-0.017441,0.006850,0.001888,-0.034632,0.024249,1.036975,39580.261989
-0.005724,0.006850,-0.002373,-0.049372,0.070117,0.980212,39580.266958
-0.000397,0.006850,0.001888,-0.023279,0.055468,0.978930,39580.271985
0.000668,0.011111,0.005083,-0.035272,-0.009992,0.989184,39580.276957
-0.000397,0.005785,0.005083,-0.053949,-0.028394,0.968219,39580.281994
-0.004658,0.011111,0.007214,-0.056970,0.018664,0.982867,39580.286955
-0.001462,0.008981,-0.001308,0.020666,0.029559,1.076434,39580.291991
-0.000397,0.010046,-0.001308,-0.004419,-0.033796,1.061053,39580.296957
0.000668,0.005785,-0.004504,-0.048090,-0.063092,1.014361,39580.301967
-0.001462,-0.000607,0.008279,-0.048914,-0.022168,1.032947,39580.306957
-0.012115,0.001524,0.007214,0.001990,0.027728,1.089160,39580.311967
-0.016376,-0.000607,0.000822,0.013067,0.037707,1.078723,39580.316995
-0.022768,-0.006998,0.000822,-0.016962,0.007129,1.047412,39580.321956
-0.020637,-0.013390,0.008279,-0.047724,-0.028943,1.025073,39580.326982
-0.015311,-0.016586,0.002953,-0.038751,-0.033429,1.011249,39580.331958
-0.001462,-0.019781,0.006149,-0.012293,0.031024,1.009051,39580.336984
