//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
-0.003593,0.001524,0.000822,-0.066950,0.035876,1.031116,39518.522574
-0.005724,0.001524,0.004018,-0.048639,0.043383,1.027820,39518.527610
-0.006789,0.001524,-0.003439,-0.060083,0.004290,0.983050,39518.532579
-0.008919,0.001524,-0.002373,-0.104486,-0.051465,0.970141,39518.537614
-0.004658,-0.000607,-0.006634,-0.104578,-0.043866,1.000079,39518.542581
-0.007854,-0.000607,0.000822,-0.076837,0.010974,1.012256,39518.547612
-0.003593,-0.002737,-0.000243,-0.052851,0.028277,1.022052,39518.552603
-0.005724,0.001524,-0.002373,-0.052942,-0.001477,0.989825,39518.557590
-0.002528,0.000459,-0.006634,-0.091211,-0.052289,0.981952,39518.562605
-0.005724,0.003654,-0.005569,-0.104669,-0.048078,0.977466,39518.567587
-0.009985,-0.002737,-0.000243,-0.089838,-0.008710,0.996234,39518.572603
-0.004658,0.001524,0.001888,-0.058893,0.039172,1.010882,39518.577586
-0.008919,0.000459,-0.000243,-0.044611,0.025531,0.994220,39518.582596
-0.002528,0.001524,-0.000243,-0.079675,-0.035810,1.005206,39518.587591
-0.004658,0.002589,-0.013026,-0.097528,-0.048261,1.009326,39518.592606
-0.005724,-0.000607,-0.003439,-0.091669,-0.019056,1.003192,39518.597588
-0.002528,-0.002737,-0.003439,-0.067407,0.035510,1.024249,39518.602602
-0.004658,-0.000607,0.000822,-0.056604,0.036883,1.001086,39518.607587
-0.004658,-0.002737,-0.002373,-0.073816,-0.024640,0.987719,39518.612607
-0.007854,0.004720,-0.008765,-0.090570,-0.058789,0.988177,39518.617590
-0.007854,0.001524,-0.003439,-0.092584,-0.041761,1.003924,39518.622606
-0.003593,0.001524,-0.001308,-0.063654,0.016467,1.014819,39518.627588
-0.009985,-0.002737,0.000822,-0.048548,0.041644,1.003284,39518.632607
-0.003593,-0.005933,0.006149,-0.072717,0.001178,0.981769,39518.637589
-0.012115,0.003654,-0.005569,-0.094782,-0.053846,0.975360,39518.642606
-0.012115,0.000459,-0.004504,-0.103571,-0.049909,0.992755,39518.647587
-0.005724,-0.000607,-0.005569,-0.084162,0.000995,1.030017,39518.652607
-0.005724,-0.004868,-0.001308,-0.047724,0.044757,1.005298,39518.657590
-0.003593,-0.001672,0.001888,-0.057520,0.022693,0.996509,39518.662606
-0.004658,-0.000607,-0.006634,-0.083795,-0.027478,0.979205,39518.667587
-0.003593,-0.000607,-0.004504,-0.105860,-0.054944,0.978839,39518.672603
-0.006789,-0.001672,-0.006634,-0.091577,-0.021619,1.002185,39518.677615
-0.005724,-0.002737,0.000822,-0.054224,0.023791,0.999255,39518.682578
-0.006789,-0.004868,0.000822,-0.065393,0.023516,0.995227,39518.687617
-0.001462,0.001524,-0.002373,-0.081140,-0.021619,0.966571,39518.692577
-0.006789,-0.000607,-0.001308,-0.095331,-0.065290,0.982135,39518.697616
-0.009985,0.002589,-0.006634,-0.101099,-0.022626,1.011523,39518.702584
-0.005724,-0.002737,-0.004504,-0.069238,0.035968,1.004016,39518.707616
-0.009985,0.003654,0.002953,-0.049188,0.040362,1.009051,39518.712579
-0.009985,-0.000607,0.002953,-0.066034,0.008960,1.002276,39518.717621
-0.000397,-0.002737,-0.003439,-0.092493,-0.049817,0.992755,39518.722573
-0.003593,-0.000607,-0.006634,-0.091028,-0.048719,0.995410,39518.727611
-0.004658,-0.001672,-0.004504,-0.083154,0.002734,1.006030,39518.732577
-0.003593,-0.001672,0.000822,-0.059809,0.032855,1.008960,39518.737612
-0.009985,-0.005933,-0.000243,-0.054590,0.001544,0.976825,39518.742580
-0.009985,0.001524,0.004018,-0.087457,-0.060712,0.971698,39518.747620
-0.012115,0.001524,-0.005569,-0.099176,-0.057416,0.996142,39518.752580
-0.008919,0.002589,-0.006634,-0.099176,-0.012647,1.005847,39518.757617
-0.007854,-0.004868,-0.006634,-0.054682,0.037799,1.001910,39518.762578
-0.008919,-0.002737,0.001888,-0.035639,0.032122,1.013995,39518.767610
-0.007854,-0.002737,0.000822,-0.078851,-0.017133,1.003100,39518.772580
-0.012115,-0.001672,-0.007700,-0.105036,-0.051557,0.992022,39518.777613
-0.008919,-0.000607,-0.002373,-0.094690,-0.018415,0.982226,39518.782584
-0.006789,-0.001672,-0.009830,-0.068598,0.029559,1.024158,39518.787615
-0.006789,-0.005933,-0.002373,-0.044061,0.031024,1.004474,39518.792579
-0.002528,-0.003803,0.000822,-0.075739,-0.024274,0.976092,39518.797618
-0.012115,-0.002737,0.004018,-0.096521,-0.056318,0.955951,39518.802588
-0.005724,0.002589,-0.007700,-0.101373,-0.053754,0.985705,39518.807617
-0.003593,0.000459,-0.005569,-0.079492,0.006579,1.004382,39518.812602
-0.011050,-0.000607,-0.005569,-0.050836,0.042102,0.984607,39518.816604
-0.011050,-0.000607,-0.005569,-0.068323,-0.000653,0.978015,39518.821582
-0.009985,-0.000607,0.002953,-0.068323,-0.000653,0.978015,39518.822614
-0.005724,0.003654,0.001888,-0.102564,-0.046338,0.973071,39518.826611
-0.007854,-0.000607,-0.004504,-0.102838,-0.050733,0.990008,39518.831580
-0.007854,0.001524,-0.006634,-0.075189,0.003466,1.025714,39518.836604
-0.006789,-0.000607,-0.004504,-0.058161,0.048510,1.031299,39518.841583
